STOPS_NO,STOPS_NM,XCRD,YCRD,NODE_ID,STOPS_TYPE
11833,중계역,127.0627647339,37.6472686025,110000669,가로변시간
11834,중계역,127.0628447488,37.6480849384,110000663,가로변시간
11835,하계역,127.068859365,37.6350402373,110000661,가로변시간
11836,하계역,127.0683473286,37.6351558735,110000662,가로변시간
11842,선곡경로당,127.0586613199,37.61708085,110900053,마을버스
14534,성원아파트,126.901603,37.556576,113900251,마을버스
14536,서일빌딩,126.9159825506,37.5454162494,113900035,마을버스
14537,청원빌딩,126.9181649687,37.5584151692,113900267,마을버스
14989,신촌역,126.9358956814,37.5542870566,113900230,마을버스
14990,신촌역,126.9356255921,37.5544909027,113900282,마을버스
16612,대한항공,126.8150621212,37.5499834076,115000620,일반차로
16864,아람마트,126.85496215,37.5344073361,115900117,마을버스
16967,등촌5단지,126.8439155633,37.5591423356,115900151,마을버스
00005,한강버스.여의도선착장,126.934607,37.52901,118000622,한강선착장
00006,한강버스.망원선착장,126.894245,37.55468,113000513,한강선착장
00007,한강버스.마곡선착장,126.84404,37.5751,115000952,한강선착장
01001,종로2가사거리,126.9877522923,37.5698055407,100000001,중앙차로
01002,창경궁.서울대학교병원,126.9965206101,37.579432932,100000002,중앙차로
01003,명륜3가.성대입구,126.9982508372,37.5825800121,100000003,중앙차로
01004,종로2가.삼일교,126.9876130976,37.5685792736,100000004,중앙차로
01005,혜화동로터리.여운형활동터,127.001744,37.586243,100000005,중앙차로
01006,서대문역사거리,126.966893,37.566137,101000305,중앙차로
01007,서울역사박물관.경희궁앞,126.97038,37.569135,100000380,중앙차로
01008,서울역사박물관.경희궁앞,126.9707589959,37.5695119837,100000379,중앙차로
01009,광화문역,126.9763534416,37.5701416811,100000384,중앙차로
01010,광화문역,126.9778802991,37.5702396638,100000385,중앙차로
01011,종로1가,126.9810660928,37.5701482455,100000386,중앙차로
01012,종로1가,126.9816283242,37.5702710116,100000387,중앙차로
01013,종로2가,126.9849902588,37.5701723774,100000388,중앙차로
01014,종로2가,126.9865353674,37.5702378859,100000389,중앙차로
01015,종로3가.탑골공원,126.9893256464,37.5702088889,100000390,중앙차로
01016,종로3가.탑골공원,126.9899877751,37.5703605443,100000391,중앙차로
01017,종로4가.종묘,126.9947218896,37.5705069968,100000392,중앙차로
01018,종로4가.종묘,126.995395739,37.570635002,100000393,중앙차로
01019,종로5가.광장시장,126.9990604685,37.5707860047,100000394,중앙차로
01020,종로5가.광장시장,126.9996038113,37.570930167,100000395,중앙차로
01021,종로6가.동대문종합시장,127.004462788,37.5710111729,100000396,중앙차로
01022,종로6가.동대문종합시장,127.0057137364,37.5711272339,100000397,중앙차로
01023,동대문역.흥인지문,127.013815948,37.572447536,100000398,중앙차로
01037,동대문역.흥인지문,127.0124191046,37.5721524474,100000365,중앙차로
01041,동묘앞.서울혜화경찰서,127.0186102731,37.5738321574,100000366,중앙차로
01044,동묘앞.서울혜화경찰서,127.0195527812,37.5742464626,100000367,중앙차로
01101,경기상고,126.9693634554,37.5875502159,100000006,일반차로
01102,신교동,126.9702626865,37.5832955233,100000007,일반차로
01103,경기상고,126.9697701102,37.5871907861,100000008,일반차로
01104,경복고교,126.9708802468,37.5851600316,100000009,일반차로
01105,청운중학교,126.9726741314,37.587810579,100000010,일반차로
01106,자하문고개.윤동주문학관,126.9671261805,37.5921866176,100000011,일반차로
01107,자하문고개.윤동주문학관,126.9671906625,37.5923353152,100000012,일반차로
01108,청운중학교,126.9722631304,37.5884219586,100000013,일반차로
01109,경복고교,126.9714039185,37.5850633028,100000014,일반차로
01110,통인시장종로구보건소,126.9710500404,37.5803257033,100000015,일반차로
01111,통인시장종로구보건소,126.9713851083,37.5805132118,100000016,일반차로
01112,효자동,126.9706209712,37.583091043,100000017,일반차로
01113,사직단.어린이도서관,126.9679907155,37.5751355316,100000018,일반차로
01114,경복궁역1번출구,126.9714158133,37.5761614873,100000019,일반차로
01115,경복궁역2번출구,126.9721994292,37.577040144,100000020,일반차로
01116,경복궁역3번출구,126.9722828893,37.5776713863,100000021,일반차로
01117,경복궁,126.9787471496,37.5755767894,100000022,일반차로
01118,광화문역2번출구.KT광화문지사,126.9774162769,37.5723209262,100000023,일반차로
01119,영추문,126.9739817664,37.5789303855,100000415,일반차로
01120,광화문역6번출구,126.97640724,37.5700448348,100000025,일반차로
01123,서울역사박물관.강북삼성병원,126.971248,37.570023,100000028,일반차로
01124,새문안교회,126.9728386477,37.5703368912,100000029,일반차로
01125,광화문역7번출구,126.975837,37.570365,100000030,일반차로
01126,세종문화회관,126.9769975778,37.5736489318,100000031,일반차로
01127,서울경찰청.경복궁역,126.9714842989,37.5757446636,100000032,일반차로
01128,사직단,126.968188961,37.5748553458,100000033,일반차로
01129,광화문역6번출구.광화문빌딩,126.9768637419,37.5695035518,100000034,일반차로
01130,덕성여중고,126.981972246,37.5757693863,100000035,일반차로
01131,안국역.서울공예박물관,126.9839957858,37.5760695565,100000036,일반차로
01132,국민은행세검정지점,126.9608880061,37.6046629766,100000037,일반차로
01133,세검정초등학교,126.9612198463,37.6025022799,100000038,일반차로
01134,세검정.상명대,126.9582921267,37.6004770909,100000039,일반차로
01135,상명대입구.석파랑,126.958570225,37.5994133537,100000040,일반차로
01136,하림각,126.9617068235,37.5981330665,100000041,일반차로
01137,자하문터널입구.석파정,126.9636434993,37.5955935123,100000042,일반차로
01138,부암동주민센터.무계원,126.9642221989,37.5927670827,100000043,일반차로
01139,부암동주민센터.무계원,126.9651419211,37.5927861733,100000044,일반차로
01140,자하문터널입구.석파정,126.9639775924,37.5955575712,100000045,일반차로
01141,하림각,126.962215308,37.5981476478,100000046,일반차로
