ADSTRD_CD,ADSTRD_NM,XCNTS_VALUE,YDNTS_VALUE,RELM_AR
11140520,소공동,197736.0,451636.0,943795.0
11110515,청운효자동,197342.0,453874.0,2568432.0
11110530,사직동,197383.0,452705.0,1158536.0
11110540,삼청동,198340.0,454312.0,1479255.0
11110550,부암동,196781.0,455266.0,2274739.0
11110560,평창동,197186.0,457344.0,8947328.0
11110570,무악동,196342.0,453063.0,369520.0
11110580,교남동,196830.0,452392.0,346926.0
11110600,가회동,198812.0,453662.0,539955.0
11110615,종로1·2·3·4가동,199104.0,452849.0,2417171.0
11110630,종로5·6가동,200389.0,452590.0,603167.0
11110640,이화동,200267.0,453352.0,782395.0
11110650,혜화동,199773.0,454212.0,1132421.0
11110670,창신1동,201219.0,452536.0,305337.0
11110680,창신2동,200900.0,452942.0,257323.0
11110690,창신3동,201168.0,453267.0,216835.0
11110700,숭인1동,201492.0,453071.0,239396.0
11110710,숭인2동,201797.0,452772.0,351906.0
11140540,회현동,197977.0,450824.0,897827.0
11140550,명동,198613.0,451602.0,969729.0
11140570,필동,199450.0,450816.0,1464686.0
11140580,장충동,200191.0,450671.0,1017925.0
11140590,광희동,200333.0,451736.0,737204.0
11140605,을지로동,199696.0,451898.0,611524.0
11140615,신당동,201211.0,451795.0,534942.0
11140625,다산동,200739.0,450602.0,523971.0
11140635,약수동,200909.0,450070.0,486369.0
11140645,청구동,201342.0,450817.0,342571.0
11140650,신당5동,201932.0,451567.0,319706.0
11140665,동화동,201648.0,451242.0,327045.0
11140670,황학동,201842.0,452111.0,328640.0
11140680,중림동,196999.0,450869.0,484384.0
11290575,동선동,201635.0,454898.0,724957.0
11290580,돈암1동,202155.0,455576.0,488898.0
11290590,돈암2동,201024.0,455279.0,518335.0
11290600,안암동,202404.0,454241.0,1379571.0
11290610,보문동,201690.0,453697.0,553006.0
11290620,정릉1동,201500.0,455967.0,412365.0
11290630,정릉2동,200751.0,456011.0,1094889.0
