STOPS_NO,STOPS_NM,XCRD,YCRD,TOTAL_PASSENGERS
101000060,을지로2가.파인에비뉴,126.988670826,37.5660727123,737633.0
121000038,롯데칠성,127.0240035889,37.4966572734,444013.0
112000033,세브란스병원,126.9378406593,37.5598680153,1090835.0
118000213,여의도순복음교회비전센터,126.9241543204,37.5300112247,756287.0
113000056,한겨레신문사,126.9589872289,37.5479971758,634803.0
106000231,망우금호어울림아파트,127.108053267,37.6020220028,242375.0
113000419,신촌오거리.2호선신촌역,126.940153403,37.5561071246,1066083.0
115000079,대일고교.임광아파트.배광교회,126.8635679255,37.539791346,694598.0
111000185,갈현동성당앞,126.9162269018,37.6205383043,192649.0
112000086,서울여자간호대학교.홍은초등학교,126.948705185,37.595642031,748405.0
106000148,홈플러스면목동점,127.0817183593,37.581130873,519863.0
107000057,석계역4번출구,127.067112,37.615104,624427.0
106000115,용마산하늘채아파트,127.086306987,37.5710236763,210807.0
123000579,잠실역.롯데월드몰,127.1005791644,37.5127165509,2211631.0
123000082,잠실119안전센터,127.0929452929,37.5070038465,339352.0
122000110,삼성2문화센터,127.046512905,37.5108104729,176795.0
117000109,모두의학교.금천문화예술정보학교,126.9036963865,37.4788389714,910796.0
116000389,구로보건소,126.8889643647,37.5003597239,242992.0
111000173,시립은평병원,126.9229692929,37.5932001174,308957.0
112000106,DMC파크뷰자이.별동상가,126.9160852843,37.575189079,700704.0
121000067,서초3동주민센터,127.0116355253,37.4831290593,340865.0
116900113,천왕역2번출구,126.8383395625,37.4863641705,848971.0
107900215,생명의전화로터리,127.0378090878,37.6038353025,84684.0
115900259,마곡엠밸리7단지입구,126.824676,37.565172,2284.0
122900076,상업지역,127.0999592175,37.4671769696,49703.0
108900015,아카데미하우스.통일교육원,127.0019309161,37.6421608368,20168.0
108900185,강북보건소.번2동주민센터,127.0373743139,37.6312689643,100825.0
107900301,창문여고앞,127.0353820571,37.6118839664,353336.0
108900024,청화슈퍼,127.0367029926,37.6277765778,32731.0
108900042,성원아파트,127.0134032107,37.6617153182,64691.0
109900001,용호약국,127.025211064,37.6499633172,18130.0
113900090,성모병원사거리,126.9121224136,37.564613951,118269.0
