ADSTRD_CD,ADSTRD_NM,XCNTS_VALUE,YDNTS_VALUE,RELM_AR,ANNUAL_TOT_LVPOP_CO
11140520,소공동,197736.0,451636.0,943795.0,6725.1148
11110515,청운효자동,197342.0,453874.0,2568432.0,14493.5808
11110530,사직동,197383.0,452705.0,1158536.0,11668.1476
11110540,삼청동,198340.0,454312.0,1479255.0,4069.357
11110550,부암동,196781.0,455266.0,2274739.0,11425.6137
11110560,평창동,197186.0,457344.0,8947328.0,19853.9893
11110570,무악동,196342.0,453063.0,369520.0,6315.0253
11110580,교남동,196830.0,452392.0,346926.0,7238.3109
11110600,가회동,198812.0,453662.0,539955.0,3482.0246
11110615,종로1·2·3·4가동,199104.0,452849.0,2417171.0,25243.7927
11110630,종로5·6가동,200389.0,452590.0,603167.0,8696.6438
11110640,이화동,200267.0,453352.0,782395.0,19113.9604
11110650,혜화동,199773.0,454212.0,1132421.0,28841.628
11110670,창신1동,201219.0,452536.0,305337.0,8483.854
11110680,창신2동,200900.0,452942.0,257323.0,7788.0191
11110690,창신3동,201168.0,453267.0,216835.0,4295.9115
11110700,숭인1동,201492.0,453071.0,239396.0,7397.267
11110710,숭인2동,201797.0,452772.0,351906.0,10879.0091
11140540,회현동,197977.0,450824.0,897827.0,7760.0734
11140550,명동,198613.0,451602.0,969729.0,10377.6346
11140570,필동,199450.0,450816.0,1464686.0,8578.0174
11140580,장충동,200191.0,450671.0,1017925.0,7064.2484
11140590,광희동,200333.0,451736.0,737204.0,15583.483
11140605,을지로동,199696.0,451898.0,611524.0,7147.9594
11140615,신당동,201211.0,451795.0,534942.0,25100.9627
11140625,다산동,200739.0,450602.0,523971.0,13439.1935
11140635,약수동,200909.0,450070.0,486369.0,14702.1965
11140645,청구동,201342.0,450817.0,342571.0,11327.0878
11140650,신당5동,201932.0,451567.0,319706.0,5819.5162
11140665,동화동,201648.0,451242.0,327045.0,12950.7412
11140670,황학동,201842.0,452111.0,328640.0,13406.3296
11140680,중림동,196999.0,450869.0,484384.0,7058.4202
11170510,후암동,198287.0,450043.0,865892.0,14589.805
11170520,용산2가동,198681.0,448712.0,1966853.0,10724.7275
11170530,남영동,197775.0,449391.0,1177788.0,8117.003
11170555,청파동,197070.0,449786.0,886225.0,22174.2259
11170560,원효로1동,197044.0,448666.0,589017.0,19420.906
11170570,원효로2동,195798.0,448262.0,708975.0,16013.6905
11170580,효창동,196548.0,449256.0,446197.0,9851.3892
11170590,용문동,196333.0,448720.0,277531.0,9101.4764
11170625,한강로동,197224.0,447737.0,2869816.0,34026.0149
11170630,이촌1동,197503.0,446189.0,2872767.0,25226.171
11170640,이촌2동,195952.0,447042.0,1205543.0,7035.3265
11170650,이태원1동,199403.0,448207.0,582899.0,9159.164
11170660,이태원2동,199298.0,449139.0,874243.0,11444.5428
11170685,한남동,200457.0,448669.0,3031897.0,19518.635
11170690,서빙고동,199020.0,446683.0,2821948.0,12377.3278
11170700,보광동,200080.0,447488.0,715096.0,7470.202
11200520,왕십리2동,202450.0,451325.0,372425.0,17542.4946
11200535,왕십리도선동,202615.0,451924.0,710285.0,31586.16
11200540,마장동,203587.0,451987.0,1035276.0,19412.9513
11200550,사근동,204011.0,450956.0,1169216.0,23411.7515
11200560,행당1동,203196.0,451063.0,573566.0,27359.341
11200570,행당2동,202620.0,450795.0,457669.0,21082.8294
11200580,응봉동,202980.0,450152.0,553662.0,12992.5257
11200590,금호1가동,202207.0,450452.0,444872.0,14195.7223
11200615,금호2·3가동,201765.0,450209.0,631196.0,22247.4464
11710720,잠실7동,206533.0,445319.0,723486.0,10769.1589
11740515,강일동,215398.0,451571.0,3647520.0,53256.666
11740520,상일동,214565.0,450139.0,1813623.0,45359.6598
11740530,명일1동,212897.0,450102.0,634942.0,26036.3935
11740540,명일2동,213634.0,449869.0,914329.0,13855.4154
11740550,고덕1동,213336.0,451364.0,1518495.0,27033.3396
11740560,고덕2동,214314.0,451728.0,2206786.0,22238.7363
11740570,암사1동,211893.0,450267.0,735480.0,30634.5711
11740580,암사2동,210929.0,450841.0,2174329.0,15144.7525
11740590,암사3동,212249.0,451304.0,1799368.0,15104.6424
11740600,천호1동,212244.0,449655.0,668998.0,32685.4631
11740610,천호2동,210782.0,449505.0,1850853.0,45107.2561
11740620,천호3동,211781.0,448918.0,561872.0,29504.4767
11740690,둔촌1동,212413.0,447073.0,912178.0,32831.9273
11740700,둔촌2동,213015.0,447989.0,1550455.0,25712.9478
11740640,성내1동,211097.0,447696.0,663675.0,21984.9579
11740650,성내2동,211287.0,448330.0,625147.0,25597.2296
11740660,성내3동,211824.0,447659.0,647356.0,30525.1483
11740685,길동,212900.0,448920.0,1631616.0,63499.4861
