STOPS_NM,ADSTRD_NM,XCRD,YCRD,total_living_pop,distance_km,daily_total_on
수운회관,종로1·2·3·4가동,126.986669266,37.5752189424,25243,0.18,34708.0
을지로2가.파인에비뉴,명동,126.988670826,37.5660727123,10377,0.27,737633.0
신한은행본점,소공동,126.975585201,37.5611965482,6725,0.27,166786.0
남산교회입구,이태원2동,126.9866223212,37.5445505919,11444,1.1,111441.0
래미안구의파크스위트,천호2동,127.0890507143,37.5449638155,45107,0.75,262008.0
용마산하늘채아파트,암사2동,127.086306987,37.5710236763,15144,0.29,210807.0
홈플러스면목동점,마장동,127.0817183593,37.581130873,19412,0.6,519863.0
망우금호어울림아파트,암사2동,127.108053267,37.6020220028,15144,0.51,242375.0
석계역4번출구,마장동,127.067112,37.615104,19412,0.12,624427.0
월곡중학교,숭인1동,127.0478487259,37.6062348572,7397,0.06,55840.0
풍림106동,창신3동,127.0220560921,37.5976425376,4295,0.69,31673.0
생명의전화로터리,숭인1동,127.0378090878,37.6038353025,7397,0.39,84684.0
창문여고앞,창신3동,127.0353820571,37.6118839664,4295,0.49,353336.0
아카데미하우스.통일교육원,평창동,127.0019309161,37.6421608368,19853,1.31,20168.0
청화슈퍼,혜화동,127.0367029926,37.6277765778,28841,0.95,32731.0
성원아파트,평창동,127.0134032107,37.6617153182,19853,0.15,64691.0
강북보건소.번2동주민센터,혜화동,127.0373743139,37.6312689643,28841,1.12,100825.0
용호약국,평창동,127.025211064,37.6499633172,19853,0.85,18130.0
시립은평병원,부암동,126.9229692929,37.5932001174,11425,0.85,308957.0
갈현동성당앞,평창동,126.9162269018,37.6205383043,19853,0.44,192649.0
대림e편한세상1단지,부암동,126.9060994338,37.6122933971,11425,0.99,130053.0
아름다운교회,평창동,126.9185422575,37.6163142927,19853,0.32,3939.0
세브란스병원,중림동,126.9378406593,37.5598680153,7058,0.42,1090835.0
서울여자간호대학교.홍은초등학교,부암동,126.948705185,37.595642031,11425,0.85,748405.0
DMC파크뷰자이.별동상가,무악동,126.9160852843,37.575189079,6315,0.75,700704.0
한겨레신문사,효창동,126.9589872289,37.5479971758,9851,0.66,634803.0
신촌오거리.2호선신촌역,중림동,126.940153403,37.5561071246,7058,0.3,1066083.0
코오롱아파트사거리,무악동,126.9213939451,37.5630345645,6315,0.72,36417.0
에덴맨션,무악동,126.9249462367,37.5639839246,6315,0.72,30684.0
성모병원사거리,무악동,126.9121224136,37.564613951,6315,0.52,118269.0
마포자이아파트,원효로2동,126.9460097727,37.5441046793,16013,0.47,14220.0
대일고교.임광아파트.배광교회,원효로2동,126.8635679255,37.539791346,16013,1.22,694598.0
내발산복합복지센터,원효로2동,126.8395111456,37.5544705711,16013,0.49,77226.0
마곡엠밸리7단지입구,원효로2동,126.824676,37.565172,16013,0.24,2284.0
구로보건소,이촌2동,126.8889643647,37.5003597239,7035,0.68,242992.0
청구아파트후문,이촌2동,126.8635070759,37.501145848,7035,0.8,59085.0
천왕역2번출구,이촌2동,126.8383395625,37.4863641705,7035,0.04,848971.0
구로디지털단지입구,이촌2동,126.9006494039,37.4829265654,7035,0.27,55173.0
모두의학교.금천문화예술정보학교,이촌2동,126.9036963865,37.4788389714,7035,0.74,910796.0
여의도순복음교회비전센터,원효로2동,126.9241543204,37.5300112247,16013,0.59,756287.0
롯데칠성,보광동,127.0240035889,37.4966572734,7470,0.36,444013.0
서초3동주민센터,서빙고동,127.0116355253,37.4831290593,12377,0.45,340865.0
방배중학교,서빙고동,126.9981113214,37.495387339,12377,0.91,122256.0
삼성2문화센터,잠실7동,127.046512905,37.5108104729,10769,0.23,176795.0
상업지역,잠실7동,127.0999592175,37.4671769696,10769,2.14,49703.0
잠실119안전센터,잠실7동,127.0929452929,37.5070038465,10769,0.5,339352.0
잠실역.롯데월드몰,잠실7동,127.1005791644,37.5127165509,10769,0.07,2211631.0
지식산업센터,고덕2동,127.159377,37.565741,22238,1.18,279757.0
강일리버파크1단지103동,강일동,127.1727484509,37.5680002929,53256,1.2,4262.0
