STDR_DE_ID,TMZON_PD_SE,ADSTRD_CODE_SE,TOT_LVPOP_CO,MALE_F0T9_LVPOP_CO,MALE_F10T14_LVPOP_CO,MALE_F15T19_LVPOP_CO,MALE_F20T24_LVPOP_CO,MALE_F25T29_LVPOP_CO,MALE_F30T34_LVPOP_CO,MALE_F35T39_LVPOP_CO,MALE_F40T44_LVPOP_CO,MALE_F45T49_LVPOP_CO,MALE_F50T54_LVPOP_CO,MALE_F55T59_LVPOP_CO,MALE_F60T64_LVPOP_CO,MALE_F65T69_LVPOP_CO,MALE_F70T74_LVPOP_CO,FEMALE_F0T9_LVPOP_CO,FEMALE_F10T14_LVPOP_CO,FEMALE_F15T19_LVPOP_CO,FEMALE_F20T24_LVPOP_CO,FEMALE_F25T29_LVPOP_CO,FEMALE_F30T34_LVPOP_CO,FEMALE_F35T39_LVPOP_CO,FEMALE_F40T44_LVPOP_CO,FEMALE_F45T49_LVPOP_CO,FEMALE_F50T54_LVPOP_CO,FEMALE_F55T59_LVPOP_CO,FEMALE_F60T64_LVPOP_CO,FEMALE_F65T69_LVPOP_CO,FEMALE_F70T74_LVPOP_CO
20250918,00,11110515,14493.5808,577.1012,367.7303,465.9073,364.5167,372.021,415.8664,467.0439,486.3755,654.3991,571.1722,508.1972,364.5663,211.5803,580.4165,687.1522,411.7224,480.715,331.2419,412.1726,458.2755,622.7399,720.4435,760.2646,664.9809,631.9779,514.7792,341.3874,1048.8331
20250918,00,11110530,11668.1476,244.9779,108.8792,202.4463,289.958,344.3513,439.5885,494.2986,590.0434,515.6901,589.0321,503.7102,383.8068,253.0458,467.4429,259.6365,139.0909,252.1457,408.9549,404.8917,475.0226,560.9072,589.8692,688.0269,538.0502,442.2475,414.6965,267.776,799.5604
20250918,00,11110540,4069.357,57.3957,43.9788,467.8184,377.8862,107.4764,88.1989,149.8228,179.0797,163.7415,174.3759,123.5091,82.0087,75.9347,200.367,101.5157,62.3596,62.2566,45.1871,94.5163,99.2432,148.4687,165.2027,139.7051,183.3812,100.2668,134.0149,120.4464,321.1984
20250918,00,11110550,11425.6137,308.2906,239.0441,328.9728,308.007,287.2954,217.3636,368.8603,367.2963,398.2022,435.0972,442.2314,352.8414,233.9361,601.3274,451.5014,321.5729,348.7282,358.1583,311.1086,359.0378,410.3767,519.5454,536.1883,532.7219,562.6042,421.5757,373.4486,1030.2794
20250918,00,11110560,19853.9893,620.1101,448.5458,491.4187,680.1603,386.4834,380.0942,517.0746,610.1395,657.6501,814.0113,726.2703,705.4251,499.6188,981.5994,841.3416,491.5699,551.8541,543.6692,468.3727,509.7489,725.8065,805.3023,1001.3515,869.8147,1044.7786,953.1459,655.1915,1873.4388
20250918,00,11110570,6315.0253,177.5661,113.5596,175.0801,196.7978,121.1447,190.2372,191.8353,233.9662,236.3561,276.604,228.5786,195.3936,139.031,338.5484,311.939,197.1839,252.0299,205.459,156.6952,150.557,235.0081,264.7953,288.1305,270.6062,228.1465,255.1703,202.1237,482.4828
20250918,00,11110580,7238.3109,311.3435,123.8533,162.4405,167.3054,188.4131,237.5238,280.9459,313.6213,339.6715,343.6934,266.6859,147.9974,137.0646,236.1384,347.108,166.0763,237.1508,250.5859,232.5266,268.1892,301.6485,318.4875,342.7374,308.2985,324.6936,205.4539,168.4824,510.1739
20250918,00,11110600,3482.0246,80.7536,57.0024,70.1101,34.2336,83.8912,109.8443,145.8655,134.6981,126.2466,171.9308,157.7092,99.6809,70.2953,199.2555,135.9241,77.3721,77.0022,91.8401,94.9244,108.2799,137.2649,129.4438,186.9534,185.9191,183.9514,130.0276,77.7679,323.8361
20250918,00,11110615,25243.7927,285.4011,89.9211,285.2997,1029.681,1496.1393,1416.8009,1672.2215,1485.5011,1526.1626,1563.3364,1394.1139,878.9095,603.9884,962.4665,220.3558,108.0589,331.6728,1236.0846,1214.233,892.6688,1169.4504,872.5478,872.6793,783.0317,678.1993,543.5803,412.9716,1218.3168
20250918,00,11110630,8696.6438,36.4768,27.7657,180.7253,382.8598,385.1117,390.2825,436.7977,423.0905,461.2704,336.494,436.1507,314.5542,200.1086,351.9789,56.9208,59.5082,200.1018,520.9204,421.1926,337.2928,380.1706,293.6572,245.7265,349.1397,357.7578,314.7438,191.9364,603.9094
20250918,00,11110640,19113.9604,325.7467,179.9706,307.5845,912.1395,993.7414,780.2199,934.4311,848.6105,733.6656,722.864,718.809,417.8004,289.3733,598.8202,206.0709,141.336,527.6692,1269.3294,1276.3289,878.7065,1023.8824,847.2961,847.7856,735.7617,670.2589,578.2708,370.7644,976.7226
20250918,00,11110650,28841.628,437.4817,332.6048,1289.2992,2820.5229,1692.2531,770.6582,841.4183,719.9304,721.5571,812.8037,738.6641,470.0999,298.4935,739.1187,498.6304,325.3876,1472.4717,4716.7788,1924.7704,790.2946,805.8872,784.2592,859.9724,859.8332,731.7734,609.2802,440.081,1337.3022
20250918,00,11110670,8483.854,72.3705,50.2786,67.709,225.9794,326.4775,324.0165,421.2223,470.35,452.6465,361.9883,365.0626,352.6078,225.678,410.5322,49.1549,24.1305,80.1407,372.3404,313.7494,284.2523,351.4063,342.0589,457.6883,462.084,447.2245,402.2218,275.4342,495.0492
20250918,00,11110680,7788.0191,125.7008,85.1523,141.2843,337.2302,291.5293,207.4085,223.8468,274.5823,248.5411,312.682,449.2429,364.7098,247.9187,462.7881,74.5669,55.7005,110.6558,333.9303,311.2765,207.9976,294.3397,168.0406,248.2837,310.1868,532.9188,418.5632,292.9551,655.9874
20250918,00,11110690,4295.9115,85.8116,44.7569,116.4539,125.9865,130.8485,125.1083,167.2193,195.2615,178.8344,177.324,172.6568,174.1741,104.427,224.013,93.542,60.844,107.4763,134.9765,179.0023,165.1726,194.6279,156.7759,169.5102,146.3591,206.9887,183.9496,115.5766,358.2335
20250918,00,11110700,7397.267,176.9738,83.8738,116.9558,237.6343,273.5331,282.829,307.8317,268.1811,289.1488,296.3149,333.8787,310.5353,173.0702,404.8181,159.2913,81.3403,121.7062,357.7836,345.7853,291.8382,271.8103,264.4912,202.5236,284.27,329.0039,269.1469,214.3116,648.386
20250918,00,11110710,10879.0091,162.6757,81.3379,138.9791,431.1985,629.1876,512.3915,508.5293,323.2455,416.7617,438.5451,393.2458,347.9144,235.6133,458.106,112.0147,46.5678,171.9833,989.6062,913.8435,578.106,452.503,310.5004,308.9913,338.3727,398.1628,338.2264,215.7375,626.6625
20250918,00,11140520,6725.1148,324.865,47.253,35.5233,71.8224,218.0068,242.7498,440.0637,452.7626,511.3201,443.2233,327.1907,163.5161,116.6353,161.2029,63.8608,31.2047,505.6121,184.1731,239.3613,257.4669,340.1408,390.4738,297.8847,211.0516,226.7027,143.2406,89.6945,188.1119
20250918,00,11140540,7760.0734,137.1461,57.4371,102.6965,110.3721,221.9618,307.7032,453.1534,560.6871,593.6181,497.7571,424.9185,219.8646,189.3438,337.5011,106.8058,37.9559,81.2872,191.94,212.6412,248.7172,335.2549,427.6161,350.5008,311.2852,277.025,279.7565,210.481,474.6459
20250918,00,11140550,10377.6346,530.569,162.1181,116.1598,318.2639,425.1681,467.1998,696.3585,709.4358,749.2179,643.316,509.9334,298.0702,155.6809,234.0435,266.4895,102.496,170.0733,436.5223,462.9076,457.4056,382.4353,367.1329,423.543,312.1578,307.6016,198.9477,144.3855,330.0013
20250918,00,11140570,8578.0174,337.0561,112.352,237.3828,673.0183,340.7363,329.0834,438.9914,351.1748,348.312,378.0778,336.0114,202.1036,159.464,307.5644,161.0053,75.9459,239.9669,666.5495,465.8865,291.2575,363.5149,266.1016,264.9378,227.4367,219.7011,170.5087,159.7685,454.1083
20250918,00,11140580,7064.2484,44.2386,25.4935,188.2563,696.4572,471.5935,301.4369,304.5258,309.3931,304.0098,226.7786,226.1861,170.0044,88.2442,224.4028,65.7384,38.2477,192.0406,908.2807,396.5027,225.5177,263.9257,223.2134,164.9434,209.1855,203.4627,167.3269,110.2967,314.5449
20250918,00,11140590,15583.483,175.8865,84.9787,191.6694,728.7419,842.591,791.8073,1062.9969,914.6099,824.0597,652.7281,582.0486,398.9566,233.9388,415.5465,119.9954,66.3504,197.4721,1009.39,1000.4221,865.4541,926.7284,681.7457,610.2004,552.6195,433.5883,366.3942,259.4953,593.068
20250918,00,11140605,7147.9594,173.0799,70.514,60.8537,243.3922,318.4163,382.4581,458.151,373.7963,434.5624,300.8205,350.8615,298.9412,163.9407,292.1436,231.6503,100.7176,86.9908,304.6817,350.0692,353.8798,370.8897,298.0649,262.4369,197.4696,147.3686,175.4321,100.9849,245.3917
20250918,00,11140615,25100.9627,70.6833,51.5059,246.6134,710.4306,1179.8026,1387.0061,1995.2992,1665.7751,1328.7555,958.8239,840.458,645.1141,365.6171,646.0154,105.9096,45.6313,203.019,1054.7265,1442.5421,1326.1734,1543.0561,1389.6429,1272.5666,1112.5326,995.0391,857.2811,498.4059,1162.536
20250918,00,11140625,13439.1935,365.8536,202.1079,289.6858,382.9199,520.3101,554.7658,558.5992,639.4373,595.7698,528.2355,576.3727,341.3956,328.1442,599.3915,344.4225,165.536,190.6639,455.6559,686.5571,673.3313,635.4637,516.7072,555.5488,491.6101,482.1896,433.629,334.0538,990.8364
